text,label,notes
"'From' has become too miserable - I really enjoyed the first season, but it has declined bit by bit since then.  The new season especially is just a misery fest of moaning. I need some more actual horror because when they do it, they do it really well!  Step it up",,
"Samantha from Candyman 2021 deserves an award for being the smartest character alive. - She and her friends try to summon candyman in the restroom, then the window open by itself.  ""Not today, not today!"" She says as she dipped out seconds before her friends gets slaughtered by the very person the summoned. She made the best decision ever that saved her life.",,
"Why are people bringing children into horror movies?? - Just got back from seeing Obsesion and I could not believe my eyes when a couple sat down nearby with their young son-gotta have been 9-10. I was legitimately horrified for him by the end of the movie.  I actually heard the kid whisper “I’m scared” after a particularly gory trailer before the movie started. To which his mom told him to shush.  You know, I get that we’ve all seen some things on tv and in movies when we were too young to be seeing them, but this was just egregious. During that “one scene” toward the end, I was shaking my head and felt so bad that the kid just watched that.  EDIT: This was in the US. The trailer the kid saw before saying he was scared was Evil Dead Burn",,
"Widow's Bay Episode 5! - This entire show is absolutely incredible and the 5th episode made me legitimately spit take.  Seriously hope this show gets some Emmy love, it definitely deserves it more than most shows I've seen as of late.",,
"What's a great fun fact that you have about a horror movie? - The one that I have is that PETA, yes, that PETA, actually defended the movie The House That Jack Built.  In the film, a serial killer named Jack, played by Matt Dillon, starts out by killing and torturing animals. In one scene, he cuts off a little duckling's feet. However, PETA praised the film for using ""movie magic and silicone parts"" instead of actual animals in the scene. They even went so far as to say:  She added that another controversial scene in the film involving images of tigers used stock footage. Lange said it proved that ""there's no need to use live wild animals in productions, thanks to the many humane alternatives being embraced by filmmakers today.""  I mean, of course it's ""movie magic."" No one should harm animals, but the fact that the scene looked so realistic that it prompted numerous calls to PETA and led them to issue a public statement, despite the scene being completely faked, speaks volumes about how effectively the scene was done.",,
"How do people feel about children dying in horror movies? - I just watched Final Destination Bloodlines and it got me thinking. Other examples I can think of at the top of my head are Final Destination 2, Dawn of the Dead (remake) and AVP: Requiem.  There is a part of me that commends them for, essentially, being brave enough to do something like that, but I feel like often they are often done in bad taste and sometimes it makes me uncomfortable.  I just want to know what your thoughts are.",,
"On this day, 15 years ago, ""The Skin I Live In"", a horror film directed and written by Pedro Almodóvar, premiered at Cannes. -",,
Undertone Made $20M From A Podcast Premise. Now Knifepoint Horror Is Hollywood's Next Bet - New horror movie based on a single episode of a horror podcast. Knifepoint Horror is a horror podcast that crossed 10million listens and already had a movie made from one of its episodes.,,
The No End House - I never hear anyone mention this and its seriously one of the creepiest shows I've seen. Has anyone else seen it? There's a few different stories on channel zero/ candle cove. Its on shudder.,,
"You should watch Widow’s Bay - Normally I don’t make posts like this, but you should really check out Widow’s Bay. It’s not getting enough attention and I genuinely don’t want to see it get cancelled.  The spoiler-free premise is that Matthew Rhys plays the mayor of a tiny island town filled with myths, urban legends, and strange local stories, while trying to turn the place into a tourist attraction.  It’s a horror comedy, which might turn some people off because it often isn’t scary at all, but I’m glad I went in open-minded because it is hilarious and it does have creepy moments. I’m also a huge fan of Matthew Rhys, so maybe I’m biased, but he’s fantastic in this.  Minor thematic spoilers ahead, not plot spoilers.  The show uses that old-school procedural “mystery/monster of the week” structure while slowly connecting everything into a larger story underneath. It gave me a weird nostalgia for things like Goosebumps and Are You Afraid of the Dark? For more modern comparisons, it reminded me a bit of Midnight Mass because of the isolated island setting, though this is obviously much lighter in tone. It also reminded me of Evil with the procedural supernatural cases and the occasional genuinely unsettling moments.The pilot mostly sets up the premise, but things really start moving from episode 2 onward. I’m also just a sucker for small towns, urban legends, and mythical monsters.  Let me know what you think if you end up watching it.",,
